kanji,strokes,grade,freq,jlpt,meanings,readings_on,readings_kun
時,10,2,16,5,"Time, Hour",じ,"とき, -どき"
紙,10,2,559,4,Paper,し,かみ
記,10,2,149,3,"Scribe, Account, Narrative",き,しる.す
通,10,2,80,4,"Traffic, Pass Through, Avenue, Commute, Counter For Letters, Notes, Documents, Etc.","つう, つ","とお.る, とお.り, -とお.り, -どお.り, とお.す, とお.し, -どお.し, かよ.う"
高,10,2,65,5,"Tall, High, Expensive",こう,"たか.い, たか, -だか, たか.まる, たか.める"
強,11,2,112,4,Strong,"きょう, ごう","つよ.い, つよ.まる, つよ.める, し.いる, こわ.い"
教,11,2,166,4,"Teach, Faith, Doctrine",きょう,"おし.える, おそ.わる"
理,11,2,86,4,"Logic, Arrangement, Reason, Justice, Truth",り,ことわり
組,11,2,204,3,"Association, Braid, Plait, Construct, Assemble, Unite, Cooperate, Grapple",そ,"く.む, くみ, -ぐみ"
船,11,2,713,3,"Ship, Boat",せん,"ふね, ふな-"
週,11,2,540,4,Week,しゅう,
雪,11,2,1131,3,Snow,せつ,ゆき
魚,11,2,1208,4,Fish,ぎょ,"うお, さかな, -ざかな"
鳥,11,2,1043,4,"Bird, Chicken",ちょう,とり
黄,11,2,1240,2,Yellow,"こう, おう","き, こ-"
黒,11,2,573,4,Black,こく,"くろ, くろ.ずむ, くろ.い"
支,4,5,159,3,"Branch, Support, Sustain, Branch Radical (no. 65)",し,"ささ.える, つか.える, か.う"
住,7,3,270,4,"Dwell, Reside, Live, Inhabit","じゅう, ぢゅう, ちゅう","す.む, す.まう, -ず.まい"
助,7,3,397,3,"Help, Rescue, Assist",じょ,"たす.ける, たす.かる, す.ける, すけ"
医,7,3,437,4,"Doctor, Medicine",い,"い.やす, い.する, くすし"
君,7,3,947,3,"Mister, You, Ruler, Male Name Suffix",くん,"きみ, -ぎみ"
対,7,3,34,3,"Vis-a-vis, Opposite, Even, Equal, Versus, Anti-, Compare","たい, つい","あいて, こた.える, そろ.い, つれあ.い, なら.ぶ, むか.う"
局,7,3,286,3,"Bureau, Board, Office, Affair, Conclusion, Court Lady, Lady-in-waiting, Her Apartment",きょく,つぼね
役,7,3,315,3,"Duty, War, Campaign, Drafted Labor, Office, Service, Role","やく, えき",
投,7,3,236,3,"Throw, Discard, Abandon, Launch Into, Join, Invest In, Hurl, Give Up, Sell At A Loss",とう,"な.げる, -な.げ"
決,7,3,71,3,"Decide, Fix, Agree Upon, Appoint",けつ,"き.める, -ぎ.め, き.まる, さ.く"
究,7,3,368,4,"Research, Study","きゅう, く",きわ.める
身,7,3,320,0,"Somebody, Person, One's Station In Life",しん,み
者,8,3,38,4,"Someone, Person",しゃ,もの
研,9,3,336,4,"Polish, Study Of, Sharpen",けん,と.ぐ
馬,10,2,639,3,Horse,ば,"うま, うま-, ま"
森,12,1,609,2,"Forest, Woods",しん,もり
場,12,2,52,4,"Location, Place","じょう, ちょう",ば
朝,12,2,248,4,"Morning, Dynasty, Regime, Epoch, Period, (north) Korea",ちょう,あさ
番,12,2,348,3,"Turn, Number In A Series",ばん,つが.い
答,12,2,486,4,"Solution, Answer",とう,"こた.える, こた.え"
絵,12,2,895,3,"Picture, Drawing, Painting, Sketch","かい, え",
買,12,2,520,4,Buy,ばい,か.う
