kanji,strokes,grade,freq,jlpt_new
貸,12,5,995,4
迷,9,5,942,3
惑,12,8,777,1
誘,14,8,993,1
就,12,6,624,1
訪,11,6,372,3
怒,9,8,1221,3
昇,8,8,826,2
眠,10,8,1315,3
睡,13,8,1739,1
症,10,8,1111,1
締,15,8,797,1
迫,8,8,773,1
靴,13,8,1561,3
濃,16,8,1200,2
端,14,8,960,1
極,12,4,460,2
途,10,8,717,3
健,11,4,572,1
康,11,4,760,1
郎,9,8,569,1
給,12,4,615,3
逆,9,5,683,2
巨,5,8,892,2
庫,10,3,852,2
児,7,4,679,2
冷,7,4,667,3
凍,10,8,1284,2
幼,5,6,1227,2
稚,13,8,1560,1
処,5,6,547,3
博,12,4,794,1
清,11,4,705,2
潔,15,5,1595,1
録,16,4,546,2
隊,12,4,605,1
修,10,5,603,1
券,8,5,583,2
婦,11,5,671,3
奇,8,8,1367,1
妙,7,8,1122,1
麗,19,8,1758,1
微,13,8,1108,1
益,10,5,674,1
移,11,5,448,2
程,12,5,514,3
精,14,5,752,3
絶,12,5,784,3
並,8,6,599,2
憲,16,6,551,1
衆,12,6,450,1
傘,12,8,1694,1
浜,10,8,645,1
撃,15,8,473,1
攻,7,8,532,1
監,15,8,408,1
杯,8,8,1235,3
乾,11,8,1453,2
催,13,8,536,1
促,9,8,998,1
欧,8,8,421,2
江,6,8,704,1
請,15,8,524,1
雄,12,8,669,1
韓,18,8,445,0
壊,16,8,727,1
診,12,8,1019,1
閣,14,6,444,1
僚,14,8,709,1
積,16,4,541,3
督,13,8,534,1
臣,7,4,1249,2
略,11,5,774,2
航,10,4,665,2
寄,11,5,673,3
板,8,3,926,2
街,12,4,891,1
宗,8,6,997,1
緊,15,8,677,1
娘,10,8,1145,3
宴,10,8,1675,1
怖,8,8,1325,3
恐,10,8,878,3
添,11,8,1501,1
猛,11,8,1301,1
烈,10,8,1397,1
索,10,8,1127,1
詰,13,8,1020,2
詳,13,8,1178,1
魅,15,8,1206,1
渇,11,8,1944,1
系,7,6,567,1
婚,11,8,767,3
遊,12,3,941,3
旗,14,4,1190,1
照,13,4,1004,2
快,7,5,1074,2
版,8,5,802,2
貧,11,5,1211,3
乏,4,8,1646,1
適,14,5,670,3
預,13,5,981,2
延,8,6,747,2
翌,11,6,1070,2
覧,17,6,1510,1
懐,16,8,1493,1
押,8,8,789,3
更,7,8,861,3
枕,8,8,2084,0
浮,10,8,776,3
漏,14,8,1298,1
符,11,8,1798,2
購,17,8,945,1
越,12,8,897,3
飾,13,8,1193,1
騒,18,8,1069,1
背,9,6,696,3
撮,15,8,1023,1
盗,11,8,1051,3
離,19,8,555,1
融,16,8,481,1
編,15,5,591,2
華,10,8,1085,1
既,10,8,1081,1
普,12,8,757,2
豪,14,8,1104,1
鑑,23,8,1391,1
除,10,6,594,3
尋,12,8,1398,1
幾,12,8,1725,3
廊,12,8,1598,1
掃,11,8,1255,2
泥,8,8,1589,2
棒,12,6,1455,2
驚,22,8,1141,1
嘆,13,8,1584,1
倉,10,4,1114,1
孫,10,4,1388,2
巣,11,4,1588,1
帯,10,4,746,2
径,8,4,1435,1
救,11,4,799,1
散,12,4,758,3
粉,10,4,1484,2
脈,10,4,1477,1
菜,11,4,1327,2
貨,11,4,822,2
陸,11,4,736,2
似,7,5,923,3
均,7,5,715,2
墓,13,5,1337,1
富,12,5,644,3
徳,14,5,1091,1
探,11,6,930,3
偵,11,8,1857,1
綺,14,9,2413,1
序,7,5,1160,1
迎,7,8,625,3
志,7,5,823,1
恩,10,5,1418,1
採,11,5,607,2
桜,10,5,1237,1
永,5,5,846,2
液,11,5,1210,2
眼,11,5,1527,1
祖,9,5,1226,3
績,17,5,820,2
興,16,5,734,1
衛,16,5,400,1
複,14,5,915,2
雑,14,5,839,3
賛,15,5,868,3
酸,14,5,1218,1
銭,14,5,1008,1
飼,13,5,1392,1
傷,13,6,845,1
党,10,6,39,2
卵,7,6,1342,2
厳,17,6,638,1
捨,11,6,1266,2
込,5,8,675,3
密,11,6,815,1
汚,6,8,908,2
欲,11,6,902,3
暖,13,6,1371,1
机,6,6,1671,2
秘,10,6,862,1
訳,11,6,1050,1
染,9,6,837,1
簡,18,6,983,2
閉,11,6,951,3
誌,14,6,851,2
窓,11,6,1186,3
否,7,6,561,3
筋,12,6,744,1
垂,8,6,1720,1
宝,8,6,1139,2
宣,9,6,695,1
尊,12,6,1181,2
忠,8,6,1113,1
拡,8,6,611,1
操,16,6,1016,1
敬,12,6,1078,2
暮,14,6,978,3
灰,6,6,1717,2
熟,15,6,1415,1
異,11,6,631,1
皇,9,6,721,1
盛,11,6,712,1
砂,9,6,1146,2
漠,13,8,1611,1
糖,16,6,1471,1
納,10,6,987,1
肺,9,6,1387,1
著,11,6,849,2
蒸,13,6,1552,2
蔵,15,6,468,2
装,12,6,657,2
裏,13,6,812,2
諸,15,6,658,2
賃,13,6,961,1
誤,14,6,1150,3
臓,19,6,991,2
貴,12,6,970,1
降,10,6,596,3
丼,5,8,2088,0
吐,6,8,1674,1
奴,5,8,1932,1
隷,16,8,2009,1
芋,6,8,2418,1
縮,17,6,909,1
純,10,6,1044,2
縦,16,6,1258,1
粋,10,8,1768,1
聖,13,6,1165,1
磁,14,6,1686,1
紅,9,6,1299,2
射,10,6,937,1
幕,13,6,835,1
拝,8,6,1443,2
薦,16,8,1082,1
推,11,6,507,1
揮,12,6,946,1
沿,8,6,1121,1
源,13,6,738,1
劇,15,6,662,2
勤,12,6,830,3
歓,15,8,1065,1
承,8,5,775,2
損,13,5,807,2
枝,8,5,1401,2
爪,4,8,2025,0
豆,7,3,1422,1
刻,8,6,866,3
腐,14,8,1225,1
遅,12,8,833,3
彫,11,8,1533,1
測,12,5,761,2
破,10,5,590,3
舎,8,5,1170,1
講,17,5,653,2
滞,13,8,1107,1
紹,11,8,963,2
介,4,8,617,2
己,3,6,1098,1
厄,4,8,2123,1
亀,11,8,1353,1
互,4,8,914,3
剣,10,8,1305,1
寿,7,8,1245,0
彼,8,8,648,3
恥,10,8,1575,3
杉,7,8,1095,1
汁,5,8,1843,1
噌,14,9,0,0
炎,8,8,1242,1
為,9,8,831,1
熊,14,8,1105,1
獄,14,8,1529,1
酔,11,8,1640,1
酢,12,8,1955,1
鍋,17,8,1810,0
湖,12,3,1344,2
銅,14,5,1505,2
払,5,8,813,3
油,8,3,690,2
醤,17,13,2485,0
旧,5,5,549,2
姓,8,8,1628,2
貿,12,5,652,2
将,10,6,634,2
盟,13,6,587,1
遺,15,6,647,1
伸,7,8,730,2
債,13,8,728,1
及,3,8,544,1
奈,8,8,841,1
幅,12,8,641,2
廃,12,8,698,1
甘,5,8,1248,2
換,12,8,687,2
摘,14,8,564,1
核,10,8,475,1
沖,7,8,929,1
縄,15,8,1075,1
津,9,8,1036,1
献,13,8,637,1
療,17,8,600,2
継,13,8,743,1
維,14,8,643,1
舞,15,8,655,3
伎,6,8,0,1
踏,15,8,723,1
般,10,8,649,2
頼,16,8,708,3
依,8,8,906,2
鹿,11,8,957,1
諾,15,8,1490,1
牙,5,8,2067,0
跳,13,8,1716,1
昭,9,3,697,1
漁,14,4,1094,2
償,17,8,854,1
刑,6,8,864,1
募,12,8,809,2
執,11,8,800,1
塁,12,8,651,1
崩,11,8,778,1
患,11,8,796,2
戻,7,8,890,3
抗,7,8,666,1
抵,8,8,1182,1
旬,6,8,1162,1
湾,12,8,545,2
爆,19,8,735,2
弾,12,8,853,1
聴,17,8,781,1
跡,13,8,953,2
遣,13,8,664,1
闘,18,8,751,1
陣,10,8,828,1
香,9,8,859,2
兆,6,4,1174,2
臨,18,6,722,1
削,9,8,814,1
契,9,8,898,1
恵,10,8,925,1
抱,8,8,871,3
掲,11,8,899,1
狙,8,8,745,0
葬,12,8,754,1
需,14,8,935,1
齢,17,8,770,2
宜,8,8,1766,1
繰,19,8,872,1
避,16,8,756,1
妊,7,8,1413,1
娠,10,8,1623,1
致,10,8,870,1
刊,5,5,855,2
奏,9,6,1067,1
伴,7,8,886,1
併,8,8,966,1
傾,13,8,938,2
却,7,8,959,1
奥,12,8,1018,2
慮,15,8,916,1
懸,20,8,889,1
房,8,8,808,1
扱,6,8,1057,1
抑,7,8,834,1
択,7,8,847,1
描,11,8,876,1
盤,15,8,881,1
称,10,8,985,1
緒,14,8,952,3
緩,15,8,933,1
託,10,8,1021,1
賄,13,8,1282,1
賂,13,8,0,0
贈,18,8,1001,2
逃,9,8,931,3
還,16,8,910,1
超,12,8,597,2
邦,7,8,654,1
鈴,13,8,880,1
阜,8,8,1532,0
岐,7,8,1428,1
隆,11,8,1109,1
雇,12,8,975,2
控,11,8,1000,1
壁,16,8,1037,1
棋,12,8,1311,1
渋,11,8,1011,1
片,4,6,1076,2
群,13,5,1012,2
仙,5,8,1157,1
充,6,8,949,1
免,8,8,1080,1
勧,13,8,1068,1
圏,12,8,1216,1
埋,10,8,1110,2
埼,11,8,971,0
奪,14,8,974,1
御,12,8,1087,3
慎,13,8,999,1
拒,8,8,863,1
枠,8,8,922,1
甲,5,8,1073,1
斐,12,9,2103,1
祉,8,8,1063,1
稲,14,8,1038,1
譲,20,8,984,1
謙,17,8,1582,1
躍,21,8,900,1
